age_days,release_frequency,dependency_count,dependency_growth,maintainer_count,maintainer_changes,has_install_script,obfuscation_score,network_call_count,vulnerability_history_count,license_change_indicator,reputation_score,is_suspicious
5,3.91756675348368,32,19,1,1,1,0.9967973793233527,6,1,0,27,1
1866,20.074645318249527,6,2,14,1,0,0.00450541531039388,1,1,0,58,0
310,23.41561166071258,14,0,7,0,0,0.00284469007691651,0,2,0,53,0
1340,10.871199648116209,14,0,14,0,0,0.05405007678299298,0,2,0,91,0
2025,16.528221406442366,7,0,19,0,0,0.010193167972293912,1,1,0,83,0
1802,14.415129909700044,14,2,16,0,0,0.02503906907070273,1,0,0,63,0
1990,7.246081589273917,11,2,6,0,0,0.010935667823044233,0,1,0,62,0
2131,9.584975732643455,11,1,9,0,0,0.032765472777479356,0,3,0,95,0
2957,9.725247568215746,1,1,5,0,0,0.027598005435750448,1,2,0,60,0
2523,21.00455306367935,13,1,11,0,0,0.011237339317615279,2,1,0,52,0
2433,8.610455348750953,7,2,18,0,0,0.02272024171556065,2,1,0,76,0
1574,13.986468172937052,5,1,12,0,0,0.03654212996351145,2,3,0,94,0
1134,14.408641801785857,2,0,7,0,0,0.02511273482983189,0,1,0,78,0
2566,5.102569439068586,1,0,15,0,0,0.0036505491859084296,2,3,0,88,0
579,9.888599346660385,2,0,17,0,0,0.012896534022538651,2,3,0,96,0
433,16.643034415379383,8,0,7,1,0,0.003616075891591927,0,2,0,51,0
2628,8.90425343000937,3,2,3,0,0,0.024784239310138925,2,1,0,61,0
1050,14.91394022188244,4,1,6,0,0,0.0058611605834859365,2,3,0,77,0
200,12.525021246030533,8,2,19,0,0,0.02565758108755412,0,3,0,79,0
81,4.540702383607942,30,12,1,3,1,0.8577660005033801,7,0,1,11,1
2959,2.0695134881215065,8,0,18,0,0,0.08533730357765817,0,3,0,94,0
1787,12.534855614033878,8,1,13,0,0,0.012454202315166526,2,0,0,64,0
73,4.869204689551845,9,3,1,1,0,0.8220778985739995,8,0,0,13,1
1527,10.525455159549216,7,2,8,1,0,0.01589048051126677,1,1,0,88,0
119,2.584533529333623,49,19,1,1,1,0.8244069755146337,9,1,0,11,1
571,4.052437037843379,9,2,13,0,0,0.0009539939626912269,2,1,0,98,0
1661,17.882684539554045,11,0,13,0,0,0.0062822100963536125,1,2,0,60,0
1371,11.086385236361016,3,1,4,0,0,0.012898304455193438,2,0,0,92,0
460,23.534996530654002,12,1,7,0,0,0.009458896960360334,1,2,0,83,0
2927,18.848004761814877,10,0,4,0,0,0.018943568701513504,1,3,0,58,0
2285,22.85719331740361,13,1,19,0,0,0.00807862302663207,1,2,0,63,0
738,1.0671837502913262,1,0,3,0,0,0.010171274848200547,1,0,0,83,0
2719,18.394087131503408,9,2,6,0,0,0.005877406717115972,0,0,0,86,0
422,19.150699471540822,1,0,16,0,0,0.03201166279684579,2,1,0,62,0
1007,3.283950663334938,0,0,11,0,0,0.01102947183515725,2,3,0,80,0
1953,6.220187970403376,3,2,3,2,0,0.0015966143280166116,0,2,0,64,0
1065,18.956832623620723,8,2,10,1,0,0.010360779256413379,2,0,0,99,0
1566,3.668521671007894,12,0,17,0,0,0.014181231286513994,2,1,0,96,0
1164,13.233992250058057,10,1,17,0,0,0.013127672386653813,1,2,0,82,0
1196,1.363885110608396,5,1,16,0,0,0.0055500341795476265,1,1,0,57,0
1208,16.340344890790867,6,2,2,0,0,0.0030054557181253606,0,2,0,80,0
92,2.1662400695791826,46,15,1,0,1,0.48144251875654837,8,0,0,11,1
2371,11.182490235929123,9,0,7,1,0,0.006713180252609764,2,0,0,85,0
1699,1.668641747910936,7,0,5,0,0,0.0004671224731055814,1,0,0,93,0
768,9.33005386037075,0,2,2,1,0,0.015700587498194682,2,0,0,76,0
516,11.016625451157665,8,2,15,1,0,0.024559888128083848,0,1,0,51,0
796,4.764727433701934,0,2,2,0,0,0.005663642188211844,1,2,0,70,0
1941,7.528054281540967,13,0,12,0,0,0.032115489217491425,2,0,0,91,0
1175,17.22386866458068,4,2,19,0,1,0.011166752075166235,1,2,0,51,0
2628,13.882109041198095,3,0,2,0,0,0.06331586146159791,0,0,0,80,0
2925,4.307730057240716,5,2,7,0,0,0.007343892531055082,2,3,0,68,0
1618,4.260811051123342,14,0,14,0,0,0.05632698837738745,0,1,0,99,0
986,3.5045462215638987,5,0,7,0,0,0.09053487912733033,0,3,0,89,0
382,13.109481465536962,12,1,8,0,0,0.01904679015491484,2,0,0,81,0
1243,16.15297661322162,3,2,14,0,0,0.04990513509143875,0,0,0,94,0
2421,11.328949135251776,5,2,6,0,0,0.04569952462685379,0,0,0,61,0
2941,5.320385608368804,14,1,14,0,0,0.018276507323473426,2,2,0,87,0
2613,14.82536199935955,0,0,8,1,0,0.019787048351318448,1,3,0,51,0
2314,1.7026375131477394,3,2,18,0,0,0.010315852113901293,0,0,0,60,0
2986,6.348681242403742,12,1,9,1,0,0.0005193295949250885,1,0,0,55,0
233,8.129998554951154,6,1,6,0,0,0.0019617818186092313,0,1,0,91,0
569,8.249358985239256,4,1,7,2,0,0.029523057549543725,0,3,0,72,0
1127,8.925893942293872,2,2,10,0,0,0.019747090336001003,1,2,0,86,0
230,20.216045436793536,1,1,16,1,0,0.018674958528540866,0,3,0,67,0
56,2.620787497863018,34,12,1,1,0,0.7523918861032493,7,0,0,28,1
46,4.431200142527964,9,12,1,2,1,0.4818340237857151,9,1,0,2,1
1552,7.8247357453940705,14,1,18,0,0,0.0005057592544216157,2,3,0,99,0
1163,14.198348844403807,12,1,15,0,0,0.04978352588656513,2,2,0,70,0
682,23.5085196102122,0,2,19,0,1,0.07500044397339582,2,3,0,52,0
182,19.585823494184087,7,0,18,1,0,0.0010109661554706755,1,0,0,89,0
190,10.353503609967412,0,1,8,1,0,0.0056124394243935085,2,3,0,78,0
2954,4.9252894466499635,9,0,17,0,1,0.0555567557276481,2,3,0,81,0
1552,16.447772475558686,2,1,5,0,0,0.04829549020173557,1,1,0,62,0
2242,12.76867189137477,3,2,11,0,0,0.038560543784191215,1,3,0,77,0
2965,5.499013280023846,7,0,10,1,0,0.0013576125623743097,2,0,0,76,0
2704,21.0867432196485,11,2,10,0,0,0.0084452567187171,2,0,0,82,0
2687,2.19359188892345,1,1,17,0,0,0.01894272304216496,1,2,0,50,0
2174,12.163256612677404,4,1,3,0,0,0.0454680060973693,1,2,0,61,0
1709,7.3883103462330055,5,2,15,0,0,0.005898921995865919,2,0,0,71,0
144,1.2786893562514765,43,5,1,2,1,0.8589171923124626,8,1,0,19,1
2161,18.981177586435678,5,2,6,1,0,0.018169271918816482,1,0,0,56,0
1395,4.888864618187828,5,1,15,0,0,0.005276736128500257,1,3,0,68,0
2917,9.670667464304442,8,0,13,0,0,0.015932664229483664,2,3,0,75,0
2234,18.799843100725298,14,2,8,0,0,0.010223816993684189,0,0,0,67,0
1196,19.051821928054245,6,1,11,0,0,0.00027508076107272814,0,2,0,83,0
906,6.336916064725437,9,2,14,0,0,0.013246265473834836,0,1,0,73,0
1262,10.141307608679108,12,1,10,0,0,0.0021019444295252666,2,3,0,93,0
1075,12.837124491190766,6,1,6,0,0,0.007713572832000314,2,1,0,95,0
2099,9.347718252457815,13,0,17,0,0,0.04193662139743898,1,1,0,64,0
2530,17.242443208157248,3,0,3,0,1,0.0062261625147149,1,1,0,51,0
2360,9.109859936363739,6,1,7,0,0,0.017203980947403656,0,1,0,79,0
893,15.757533903029154,12,0,10,0,0,0.0074558671328141405,0,0,0,51,0
2474,19.76221880059846,1,2,6,0,0,0.02955113610748619,0,3,0,61,0
819,11.922390500643028,11,2,4,0,0,0.02441793908223399,1,2,0,66,0
119,3.0500427633918195,13,15,1,1,1,0.642899317509901,7,0,0,11,1
121,3.3817544563856323,44,16,1,2,1,0.44768170201096336,4,0,0,22,1
1533,21.915974416193112,3,1,9,0,0,0.05268209505921158,1,1,0,59,0
984,4.503580557684316,12,1,17,0,0,0.046331014563811744,2,2,0,70,0
1100,12.075634826344649,2,0,19,0,0,0.002107914127032535,1,3,0,79,0
18,3.8067708605895914,35,6,1,1,1,0.4533611468532809,9,1,0,11,1
